,0,1,2,3,4
172,incorporate,absorb,assimilate,blend,consolidate
173,indeterminate,undetermined,borderless,general,imprecise
174,indigence,destitution,penury,wealth,Chapter 11
175,indolent,drony,easygoing,fainéant,idle
176,inert,dormant,immobile,impotent,inactive
177,ingenuous,artless,candid,childlike,frank
178,inherent,built-in,constitutional,deep-rooted,deep-seated
179,innocuous,banal,bland,inoffensive,insipid
180,insensible,cold,gradual,imperceivable,imperceptible
181,insinuate,allude,ascribe,connote,imply
182,insipid,banal,bland,ho-hum,innocuous
183,insularity,bias,bigotry,intolerance,prejudice
184,intractable,incurable,intransigent,stubborn,uncompromising
185,intransigence,inflexibility,obstinacy,bullheadedness,contumacy
186,inundate,deluge,engulf,flood,overflow
187,inured,acclimate,familiarize,habituate,harden
188,invective,denunciation,diatribe,epithet,tirade
189,irascible,cantankerous,cranky,feisty,grouchy
190,irresolute,changing,doubtful,doubting,faltering
191,itinerary,guidebook,journey,path,route
192,laconic,brusque,pithy,terse,breviloquent
193,lassitude,apathy,dullness,exhaustion,fatigue
194,latent,inherent,lurking,smoldering,suppressed
195,laud,admire,adore,celebrate,commend
196,lethargic,apathetic,dull,lackadaisical,laid-back
197,levee,dam,bank,breakwater,earthwork
198,levity,frivolity,giddiness,hilarity,mirth
199,loquacious,chatty,garrulous,long-winded,voluble
200,lucid,luminous,unambiguous,apprehensible,clear
201,luminous,brilliant,incandescent,lucid,lustrous
202,magnanimity,chivalry,philanthropy,meanness,selfishness
203,malingerer,dodger,goof-off,idler,loafer
204,malleable,adaptable,flexible,supple,workable
205,maverick,bohemian,dissenter,extremist,malcontent
206,mendacious,deceitful,deceptive,duplicitous,equivocating
207,metamorphosis,evolution,rebirth,alteration,change
208,meticulous,accurate,cautious,conscientious,exact
209,misanthrope,cynic,doubter,egoist,egotist
210,mitigate,allay,alleviate,assuage,blunt
211,mollify,allay,alleviate,ameliorate,appease
212,morose,cranky,dour,gloomy,glum
213,mundane,banal,day-to-day,everyday,humdrum
214,negate,annihilate,belie,cancel out,disallow
215,neophyte,newcomer,novice,abecedarian,amateur
216,obdurate,adamant,bullhead,callous,cold fish
217,obsequious,abject,beggarly,brownnosing,complacent
218,obviate,counteract,forestall,preclude,anticipate
219,occlude,choke,clog,close,congest
220,officious,busy,forward,impertinent,inquisitive
221,onerous,arduous,backbreaking,burdensome,cumbersome
222,oscillate,fluctuate,lurch,seesaw,teeter
223,ostentatious,classy,conspicuous,extravagant,flamboyant
224,paragon,apotheosis,epitome,exemplar,archetype
225,partisan,biased,one-sided,sectarian,sympathetic
226,pathological,medicinal,pharmaceutical,preventive,therapeutic
227,paucity,dearth,insufficiency,smallness,absence
228,pedantic,abstruse,pompous,stilted,academic
229,penchant,affection,affinity,predilection,proclivity
230,penury,barrenness,dearth,destitution,indigence
231,perennial,chronic,continual,continuing,eternal
232,perfidious,betraying,deceitful,deceptive,double-crossing
233,perfunctory,cursory,offhand,sketchy,superficial
234,permeable,absorptive,accessible,enterable,passable
235,pervasive,common,inescapable,omnipresent,prevalent
236,phlegmatic,along for the ride,apathetic,blah,cold
237,piety,fervor,loyalty,religiosity,reverence
238,placate,appease,assuage,mollify,pacify
239,plasticity,elasticity,flexibility,malleability,mobility
240,platitude,banality,bromide,buzzword,chestnut
241,plethora,deluge,glut,overabundance,plenty
242,plummet,collapse,crash,decline,decrease
243,porous,absorptive,penetrable,permeable,pervious
244,pragmatic,businesslike,down-to-earth,efficient,hardheaded
245,preamble,preface,prelude,background meeting,conference
246,precarious,dangerous,delicate,dicey,hazardous
247,precipitate,accelerate,expedite,hasten,trigger
248,precursor,forerunner,harbinger,herald,messenger
249,presumptuous,arrogant,foolhardy,overconfident,pompous
250,prevaricate,belie,cavil,con,distort
251,pristine,immaculate,intact,natural,snowy
252,probity,integrity,morality,rectitude,righteousness
253,problematic,ambiguous,dubious,moot,precarious
254,prodigal,profligate,spendthrift,squandering,wanton
255,profound,deep,intelligent,philosophical,serious
256,prohibitive,excessive,exorbitant,preposterous,steep
257,proliferate,breed,burgeon,escalate,generate
258,propensity,bias,disposition,leaning,penchant
259,propitiate,appease,assuage,atone,mollify
260,propriety,correctness,decorum,legitimacy,morality
261,proscribe,forbid,outlaw,prohibit,ban
262,pungent,acid,acrid,aromatic,bitter
263,qualified,accomplished,adequate,capable,certified
264,quibble,nicety,artifice,cavil,criticism
265,quiescent,asleep,at rest,deactivated,dormant
266,rarefied,esoteric,exalted,lofty,elevated
267,recalcitrant,fractious,obstinate,rebellious,unruly
268,recant,annul,back down,back off,backtrack
269,recluse,hermit,anchorite,ascetic,cenobite
270,recondite,abstruse,academic,acroamatic,arcane
271,refractory,disobedient,headstrong,mulish,obstinate
272,refute,contradict,counter,disprove,expose
273,relegate,consign,entrust,refer,accredit
274,reproach,disgrace,abuse,admonishment,admonition
275,reprobate,bad,corrupt,degenerate,foul
276,repudiate,abandon,break with,disavow,dismiss
277,rescind,abolish,abrogate,annul,cancel
278,resolution,decision,settlement,verdict,aim
279,resolve,boldness,courage,firmness,intention
280,reticent,bashful,hesitant,mum,reserved
281,reverent,appreciative,deferential,gracious,polite
282,sage,contemplative,cunning,enlightened,knowing
283,salubrious,beneficial,good,healthful,healthy
284,sanction,approval,acquiescence,allowance,approbation
285,satiate,gratify,indulge,nauseate,sate
286,saturate,douse,imbue,immerse,impregnate
287,savor,odor,piquancy,relish,salt
288,secrete,stash,stow,bury,cache
289,shard,fragment,particle,remnant,bit
290,skeptic,agnostic,cynic,dissenter,doubter
291,soporific,anesthetic,calming,deadening,hypnotic
292,specious,deceptive,erroneous,false,inaccurate
293,spectrum,rainbow,chromatic spectrum,hue cycle,area
294,sporadic,desultory,fitful,infrequent,intermittent
295,stigma,scar,stain,blame,blemish
296,stint,assignment,duty,job,spell
297,stipulate,designate,guarantee,impose,lay down
298,stolid,impassive,blunt,bovine,dense
299,strut,prance,sashay,stalk,stride
300,subpoena,decree,mandate,summons,warrant
301,subside,abate,descend,diminish,dwindle
302,substantiate,affirm,confirm,corroborate,debunk
303,supersede,annul,overrule,repudiate,set aside
304,supposition,conjecture,guesswork,hunch,hypothesis
305,tacit,implicit,implied,indirect,unspoken
306,tangential,extraneous,unrelated,digressive,divergent
307,tenuous,delicate,dubious,flimsy,insubstantial
308,tirade,denunciation,diatribe,harangue,invective
309,torpor,apathy,disinterest,dormancy,drowsiness
310,tortuous,circuitous,convoluted,indirect,labyrinthine
311,tractable,acquiescent,amenable,biddable,complaisant
312,transgression,breach,crime,error,fault
313,truculence,aggression,aggressiveness,attack,backbone
314,vacillate,dither,fluctuate,oscillate,seesaw
315,venerate,cherish,esteem,exalt,hallow
316,veracious,accurate,credible,dependable,direct
317,verbose,bombastic,circumlocutory,diffuse,flowery
318,viable,applicable,feasible,possible,usable
319,viscous,gooey,slimy,syrupy,adhesive
320,vituperative,calumniating,castigating,censorious,contumelious
321,volatile,buoyant,capricious,elusive,erratic
322,wary,attentive,circumspect,considerate,distrustful
323,welter,jumble,confusion,grovel,overturn
324,whimsical,amusing,comical,droll,eccentric
325,zealot,activist,diehard,extremist,fanatic
